sentence	entity	label	source
Вадим, как опытный литератор, объяснял смыслы и темы своего творчества, говорил про два мира на альбоме — реальный и магический, про чередование лейтмотивов, таких как «друг», «мост», «любовь — та, с кем на одной стороне моста».	Вадим	1	AUTHOR_POS/AUTHOR_NEG
В Москве начались съёмки художественного фильма «Доктор Лиза», посвящённого жизни Елизаветы Глинки.	Елизаветы Глинки	1	AUTHOR_POS/AUTHOR_NEG
Шмидт возглавлял Google на протяжении десяти лет.	Шмидт	1	AUTHOR_POS/AUTHOR_NEG
"Шутка ли, за то время, пока он стоял у руля, Google превратился в наиболее популярный поисковик в мире, ""заразил"" интернет-сообщество просмотром видеороликов на YouTube и выпустил мобильную ОС Android, которая в ближайшее время наверняка станет самой популярной мобильной платформой в мире."	Google	1	AUTHOR_POS/AUTHOR_NEG
Возможно, дело в том, что о рокировке Пейджа и Шмидта Google сообщил одновременно с публикацией финансовых итогов года.	Google	1	AUTHOR_POS/AUTHOR_NEG
После службы в ВМС с 1979 года работал в госкорпорации CITIC, созданной с одобрения Дэн Сяопина.	CITIC	1	AUTHOR_POS/AUTHOR_NEG
Метцнер представлял интересы Романа Абрамовича, когда полиция заинтересовалась историей приобретения последним замка Кроэ на Лазурном берегу.	Метцнер	1	AUTHOR_POS/AUTHOR_NEG
На фотографии на обложке Царнаев похож скорее на рок-звезду, чем на 19-летнего парня с опухшим лицом и рукой в гипсе, который чуть больше недели назад отказался признать свою вину в организации взрывов на Бостонском марафоне.	Царнаев	-1	AUTHOR_POS/AUTHOR_NEG
"Умер Ли Пэн – инициатор расправы на площади Тянаньмэнь
Ли Пэн"	Ли Пэн	-1	AUTHOR_POS/AUTHOR_NEG
В понедельник, 22 июля 2019 года, в Пекине умер Ли Пэн, соратник Цзян Цзэминя, премьер Государственного совета Китая в 1988—1998 годах, председатель Постоянного комитета Всекитайского собрания народных представителей в 1998—2003 годах.	Ли Пэн	-1	AUTHOR_POS/AUTHOR_NEG
Среди гостей — дочь знаменитого писателя, актера и режиссера Мария Шукшина, актёры Андрей Мерзликин и Алиса Гребенщикова, выдающийся спортсмен и актёр Олег Тактаров, продюсер и актер Игорь Жижикин, а также настоятель собора во имя святого благоверного и великого князя Александра Невского в Новосибирске, сценарист и кинорежиссер Александр Новопашин.	Олег Тактаров	1	AUTHOR_POS/AUTHOR_NEG
Помимо Элис Манро премию по литература могли получить японец Харуки Мураками, белорусская писательница Светлана Алексиевич и другие выдающиеся люди (не считая вышеперечисленных людей и Элис, вошедших в тройку букмекерских фаворитов).	Светлана Алексиевич	1	AUTHOR_POS/AUTHOR_NEG
Помимо Элис Манро премию по литература могли получить японец Харуки Мураками, белорусская писательница Светлана Алексиевич и другие выдающиеся люди (не считая вышеперечисленных людей и Элис, вошедших в тройку букмекерских фаворитов).	Харуки Мураками	1	AUTHOR_POS/AUTHOR_NEG
В Португалии объявлен трёхдневный траур в память о великом футболисте — Эйсебио.	футболист	1	AUTHOR_POS/AUTHOR_NEG
В Португалии объявлен трёхдневный траур в память о великом футболисте — Эйсебио.	Эйсебио	1	AUTHOR_POS/AUTHOR_NEG
"В частностив день 60-летия Путина 7 октября 2012 года в ходе программы «Вестей недели» Дмитрий Киселёв посвятил этому событию комментарий длительностью 12 минут 41 секунду:
 По масштабу деятельности Путин политик из своих предшественников ХХ века сопоставим лишь со Сталиным Методы принципиально другие Цена сталинского прорыва неприемлема но масштаб задач по обустройству страны таков После Сталина каждый следующий кремлёвский лидер снижал планку амбиций и к смене тысячелетий Россия подошла обескровленной деморализованной и разорванной В результате загнем пальцы боеспособность армии восстановлена ядерный баланс подтверждён территориальная целостность сохранена зарплата россиян выросла в рублях в 13 раз пенсия в 10 Россия при этом свободна как никогда в своей истории 

В декабре 2013 года российские власти отметили это, назначив Киселёва руководителем нового информационного агентства «Россия сегодня», созданного на базе ликвидированного РИА Новости."	Киселёв	-1	AUTHOR_POS/AUTHOR_NEG
Глава Киевской городской государственной администрации и депутат Владимир Макеенко объявил о выходе из Партии регионов и переходе на сторону народа.	Макеенко	-1	AUTHOR_POS/AUTHOR_NEG
Легендарный баскетболист Коби Брайант разбился на своём вертолёте	баскетболист	1	AUTHOR_POS/AUTHOR_NEG
"Умер Кирк Дуглас — последний представитель «золотого века» американского кинематографа
Кирк Дуглас в 1963 году
Кирк Дуглас в возрасте 103 года скончался в своём доме в Беверли-Хиллз (Калифорния, США) в среду, 5 февраля 2020 года."	Кирк Дуглас	1	AUTHOR_POS/AUTHOR_NEG
В последнее время Виктор Тихонов проходил курс лечения дома.	Виктор Тихонов	1	AUTHOR_POS/AUTHOR_NEG
Хотя действие происходит во времена Второй мировой войны, но название фильма относится к другой научной статье Алана Тьюринга, опубликованной в 1950 году под названием «Вычислительные машины и разум».	Алана Тьюринга	1	AUTHOR_POS/AUTHOR_NEG
После свержения Маркоса Акино стала президентом Филиппин.	Акино	1	AUTHOR_POS/AUTHOR_NEG
