sentence	entity	entity_tag	label	source	file
36-летний Эрик Хендрикс обвиняется в попытке вербовки людей для подготовки и проведения терактов в Соединенных Штатах от имени ИГИЛ.	Эрик Хендрикс	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	104434_text
По данным следствия, в 2015 году Хендрикс связался через социальные сети с конфиденциальным осведомителем, сообщив, что «ему нужны люди», и что он «хотел бы, чтобы братья тренировались вместе».	Хендрикс	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	104434_text
Согласно сообщению, Хендрикс находился в контакте с Элтоном Симпсоном, который в апреле 2015 года осуществил закончившуюся провалом попытку нападения на место проведения этого конкурса в Гарленде, штат Техас.	Элтоном Симпсоном	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	104434_text
Согласно сообщению, Хендрикс находился в контакте с Элтоном Симпсоном, который в апреле 2015 года осуществил закончившуюся провалом попытку нападения на место проведения этого конкурса в Гарленде, штат Техас.	Хендрикс	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	104434_text
По данным следствия Ахмад Рахами, подозреваемый в подготовке взрывов, прогремевших в минувшую субботу, 17 сентября 2016 года, в Нью-Йорке и Нью-Джерси, приобрел необходимые ему для теракта компоненты на eBay, а в качестве детонатора использовал сотовые телефоны, купленные в магазине, расположенном в 500 метрах от адреса, ранее указанного им как место проживания.	Ахмад Рахами	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	106643_text
«На мой взгляд, пришла пора вернуть милиции её прежнее наименование и именовать в дальнейшем органы правопорядка полицией», — сказал глава государства на совещании по поправкам в закон «О милиции» — «Ещё со времен Октябрьской революции органы правопорядка в нашей стране стали именоваться милицией, тем самым подчеркивался их народный, как принято говорить, рабоче-крестьянский характер, — напомнил Медведев.	Медведев	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	10744_text
"В своем микроблоге в Twitter он написал:


Дарио Фо (, 24 марта 1926 года, Санджано, Италия) — итальянский драматург, режиссёр, теоретик сценического мастерства, живописец."	Дарио Фо	PERSON	1	AUTHOR_POS/AUTHOR_NEG	107644_text
В заявлении Нобелевского комитета было сказано, что премия Фо присуждается за то, что он, наследуя средневековым шутам, порицает власть и авторитет и защищает достоинство угнетаемых.	Фо	PERSON	1	AUTHOR_POS/AUTHOR_NEG	107644_text
"Подпись Дарио Фо
13 октября 2016 года на 91-м году жизни скончался итальянский драматург и режиссёр, лауреат Нобелевской премии по литературе 1997 года, Дарио Фо."	Дарио Фо	PERSON	1	AUTHOR_POS/AUTHOR_NEG	107644_text
Одна из самых узнаваемых и противоречивых фигур в администрации Клинтона, Рено уже в самом начале работы в качестве генпрокурора столкнулась с критикой в связи со штурмом поместья в Уэйко, штат Техас, где находились члены секты «Ветвь Давидова» во главе с её лидером Дэвидом Корешом.	Рено	PERSON	1	AUTHOR_POS/AUTHOR_NEG	108694_text
Одна из самых узнаваемых и противоречивых фигур в администрации Клинтона, Рено уже в самом начале работы в качестве генпрокурора столкнулась с критикой в связи со штурмом поместья в Уэйко, штат Техас, где находились члены секты «Ветвь Давидова» во главе с её лидером Дэвидом Корешом.	Рено	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	108694_text
После Уэйко Рено оказалась в центре других спорных ситуаций и скандалов, преследовавших администрацию Клинтона, включая дело «Уайтуотер» (), «» (), Монику Левински, предполагаемый ядерный шпионаж со стороны Китая и сомнительное финансирование предвыборной кампании Клинтона и Гора в 1996 году.	Монику Левински	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	108694_text
Рено часто говорила: «За всё отвечаю я», позаимствовав эту фразу у президента Гарри Трумэна.	Рено	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	108694_text
В США скончалась Джанет Рено — первая женщина, ставшая генеральным прокурором страны, и оказавшаяся в центре нескольких политических скандалов, сопровождавших работу администрации президента Билла Клинтона.	Джанет Рено	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	108694_text
Весной 2000 года Рено санкционировала вооруженный захват пятилетнего мальчика Элиана, что возмутило американцев кубинского происхождения из её родного города.	Рено	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	108694_text
"Формально он хочет сформировать под своей эгидой техническое правительство из ""специалистов"", которые на ключевых постах означают людей Земана."	Земана	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	1109
Кандидатура Немцовой оказалась приемлема и для LIDEM, и для TOP 09.	Немцовой	PERSON	1	AUTHOR_POS/AUTHOR_NEG	1109
"57% респондентов полагают, что президент не нарушает конституцию и может назначить Иржи Руснока премьером

Действия Земана обещают Чехии затяжной политический кризис с одновременным усилением власти президента."	Земана	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	1109
Не будем забывать, что описанный политический процесс будет проходить в Чехии на фоне коррупционного скандала - следствия по делу Надьовой и трех бывших депутатов от ODS.	Надьовой	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	1109
Президент Земан сейчас не левый политик.	Земан	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	1109
«Украинская Алекс Мид» (Alexa Meade), художница Екатерина Головина, перевернула реальность на глазах гостей презентации, превратив живую девушку-модель в картину с обложки журнала ''Magic Woman'', создав иллюзию двухмерного пространства в трёхмерном.	Екатерина Головина	PERSON	1	AUTHOR_POS/AUTHOR_NEG	116381_text
Однако в конце первого сета слово взяла лидер команды и её капитан Мария Борисенко, вдохновившая своих подруг.	Мария Борисенко	PERSON	1	AUTHOR_POS/AUTHOR_NEG	11694_text
"Владимир Этуш в 1943 году
Владимир Путин в Владимир Этуш
В субботу, 6 мая 2017 года, народному артисту СССР, лауреату Государственной премии РФ Владимиру Этушу исполнилось 95 лет."	Владимиру Этушу	PERSON	1	AUTHOR_POS/AUTHOR_NEG	117155_text
"В поздравлении, в частности, говорится:
 Ваш жизненный и профессиональный путь заслуживает самого искреннего уважения Вы с честью прошли фронтовыми дорогами Великой Отечественной после войны посвятили себя искусству состоялись как яркий самобытный творчески востребованный артист И конечно особо отмечу Вашу многолетнюю педагогическую наставническую деятельность уникальный личный вклад в подготовку талантливой смены 

Владимир Этуш — известный советский и российский актёр театра и кино."	Владимир Этуш	PERSON	1	AUTHOR_POS/AUTHOR_NEG	117155_text
Высочайшего уровня техника и хореография Бориса Эйфмана передают все психологические перипетии романа Толстого.	Бориса Эйфмана	PERSON	1	AUTHOR_POS/AUTHOR_NEG	12164_text
На одном из них Кандыба с целью заработка разместил скрипты биржи ссылок.	Кандыба	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	123549_text
Альбом ''Double Fantasy'' Джона Леннона и его супруги Йоко Оно, который британский рок-музыкант подписал для Марка Чепмена, ставшего через несколько часов его убийцей, выставлен на продажу в США.	Марка Чепмена	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	123602_text
Диск, который был подписан Ленноном по просьбе Марка Чепмена, стал ключевой уликой при расследовании обстоятельств гибели музыканта в 1980 году.	Марка Чепмена	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	123602_text
Задержанный подал иск в суд, к нему присоединились и другие жертвы политики Арпайо.	Арпайо	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	127139_text
Гражданин России Роман Селезнёв в США признал себя виновным в совершении новых киберпреступлений.	Роман Селезнёв	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	128596_text
В понедельник Джаред Лофнер в наручниках и в сопровождении нескольких охранников доставлен в суд в города Феникс.	Джаред Лофнер	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	12888_text
Лофнер предстал перед судом через два дня после стрельбы в Тусоне.	Лофнер	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	12888_text
В 2009 году на фестивале к 100-летию Жака Тати изображение сигареты во рту знаменитого режиссёра заменили рисунком маленькой ветряной мельницы.	Жака Тати	PERSON	1	AUTHOR_POS/AUTHOR_NEG	12995_text
Ли - особо примечательная личность.	Ли	PERSON	1	AUTHOR_POS/AUTHOR_NEG	130
Заключённый одной из тюрем Огайо, Клэренс Картер, 49 лет, был казнён во вторник за то, что избил до смерти своего сокамерника.	Клэренс Картер	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	13549_text
Клэренс Картер был приговорён к смерти в 2007, но тогда приговор не был приведён в исполнение из-за пересмотра ряда вопросов о конституционности смертельной инъекции как формы смертной казни.	Клэренс Картер	PERSON	1	AUTHOR_POS/AUTHOR_NEG	13549_text
До вынесения приговора Картер содержался  в тюрьме города Цинциннати, Огайо.	Картер	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	13549_text
Следствие показало, что Картер бил Аллена, в том числе и ногами, в течение более чем 25 минут.	Картер	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	13549_text
Также известно, что более чем за месяц до того Картер избил своего сокамерника в результате ссоры по поводу просмотра телепрограмм.	Картер	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	13549_text
Он уступает лишь легендарному Крису Челиосу, который всего два года назад играл с Red Wings в финале, а еще за год до этого выиграл Кубок (ему было, соответственно, 47 и 46 лет).	Крису Челиосу	PERSON	1	AUTHOR_POS/AUTHOR_NEG	14000_text
Лучшим голеадором для Canucks стал Даниэль Седин с восемью голами, что абсолютно понятно — он является одним из лучших бомбардиром в нынешней НХЛ.	Даниэль Седин	PERSON	1	AUTHOR_POS/AUTHOR_NEG	14000_text
Для Canucks очень важным может стать нейтрализация капитана и лидера Bruins — Здено Хары.	Здено Хары	PERSON	1	AUTHOR_POS/AUTHOR_NEG	14000_text
А вот у Bruins неожиданно блещут Давид Крейчи (десять голов) и Натан Хортон (восемь шайб).	Давид Крейчи	PERSON	1	AUTHOR_POS/AUTHOR_NEG	14000_text
А вот у Bruins неожиданно блещут Давид Крейчи (десять голов) и Натан Хортон (восемь шайб).	Натан Хортон	PERSON	1	AUTHOR_POS/AUTHOR_NEG	14000_text
Интересна дуэль вратарей: один из лучших канадских вратарей (Роберто Люонго) встретится с одним из лучших американских (Тим Томас).	Роберто Люонго	PERSON	1	AUTHOR_POS/AUTHOR_NEG	14000_text
Интересна дуэль вратарей: один из лучших канадских вратарей (Роберто Люонго) встретится с одним из лучших американских (Тим Томас).	Тим Томас	PERSON	1	AUTHOR_POS/AUTHOR_NEG	14000_text
Согласно документам суда, в период с 2006 до конца 2007 года Мардахаев и его сообщники обманывали потерпевших, используя для этого фальшивые сайты, которые, якобы, были связаны с Федеральной налоговой службой США.	Мардахаев	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	14672_text
Таким образом мошенникам удалось получить более двухсот тысяч долларов США, которые были депонированы на банковские счета, принадлежавшие Мардахаеву.	Мардахаеву	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	14672_text
Следователи, ведущие дело Доминика Стросс-Кана, выяснили, что горничная нью-йоркского отеля ''Sofitel'' Нафиссатоу Диалло, утверждающая, что экс-глава МВФ домогался её, неоднократно лгала на допросах.	Нафиссатоу Диалло	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	14776_text
Матч запомнился не только звездной игрой Стосур, но и недостойным поведением Уильямс.	Уильямс	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	15723_text
Матч запомнился не только звездной игрой Стосур, но и недостойным поведением Уильямс.	Стосур	PERSON	1	AUTHOR_POS/AUTHOR_NEG	15723_text
Джокович показал мастерскую тактику и точность в игре, проходившей при сильных порывах ветра на корте имени Артура Эша.	Джокович	PERSON	1	AUTHOR_POS/AUTHOR_NEG	15723_text
Питер Динклейдж из средневекового сериала-фэнтези «Игры престолов» (Game of Thrones) удостоен премии в номинации «Лучший актер второго плана» за роль умного, но грубого Тириона.	Тириона	PERSON	1	AUTHOR_POS/AUTHOR_NEG	15736_text
На 3 декабря, по данным Федерации Спортивного Кикера, в составе сборной уже было тринадцать человек, но остановлюсь немного подробнее на двоих из них, участвующих в категории Disabled: Косоруковой Александре и Рябчиковом Антоне.	Косоруковой Александре	PERSON	1	AUTHOR_POS/AUTHOR_NEG	16787_text
На 3 декабря, по данным Федерации Спортивного Кикера, в составе сборной уже было тринадцать человек, но остановлюсь немного подробнее на двоих из них, участвующих в категории Disabled: Косоруковой Александре и Рябчиковом Антоне.	Рябчиковом Антоне	PERSON	1	AUTHOR_POS/AUTHOR_NEG	16787_text
Украинец не допускал ошибок, уходил из области видимости Гассиева и постоянно накидывал тому встречные удары.	Гассиева	PERSON	1	AUTHOR_POS/AUTHOR_NEG	175232_text
Дальше оба боксёра наращивали давление, но преимущество Усика становилось всё очевидней.	Усика	PERSON	1	AUTHOR_POS/AUTHOR_NEG	175232_text
На церемонии установки памятного знака в воскресенье, 12 августа, присутствовала Наталья Шкуренок, журналист, корреспондент газеты ''The ArtNewspaper'', волонтёр «Последнего адреса».	Наталья Шкуренок	PERSON	1	AUTHOR_POS/AUTHOR_NEG	178520_text
Ещё бы, ведь в ней выступают такие звёзды современного футбола как Дидье Дрогба, Саломон Калу, Коло Туре, Яя Туре и другие.	Дидье Дрогба	PERSON	1	AUTHOR_POS/AUTHOR_NEG	18266_text
Ещё бы, ведь в ней выступают такие звёзды современного футбола как Дидье Дрогба, Саломон Калу, Коло Туре, Яя Туре и другие.	Саломон Калу	PERSON	1	AUTHOR_POS/AUTHOR_NEG	18266_text
Ещё бы, ведь в ней выступают такие звёзды современного футбола как Дидье Дрогба, Саломон Калу, Коло Туре, Яя Туре и другие.	Коло Туре	PERSON	1	AUTHOR_POS/AUTHOR_NEG	18266_text
Ещё бы, ведь в ней выступают такие звёзды современного футбола как Дидье Дрогба, Саломон Калу, Коло Туре, Яя Туре и другие.	Яя Туре	PERSON	1	AUTHOR_POS/AUTHOR_NEG	18266_text
Перед началом матча явным фаворитам считались ивуарийцы, в составе которых выступают такие звёзды английской Премьер-лиги как Дидье Дрогба, Саломон Калу, Коло Туре, Яя Туре.	Дидье Дрогба	PERSON	1	AUTHOR_POS/AUTHOR_NEG	18301_text
Перед началом матча явным фаворитам считались ивуарийцы, в составе которых выступают такие звёзды английской Премьер-лиги как Дидье Дрогба, Саломон Калу, Коло Туре, Яя Туре.	Саломон Калу	PERSON	1	AUTHOR_POS/AUTHOR_NEG	18301_text
Перед началом матча явным фаворитам считались ивуарийцы, в составе которых выступают такие звёзды английской Премьер-лиги как Дидье Дрогба, Саломон Калу, Коло Туре, Яя Туре.	Коло Туре	PERSON	1	AUTHOR_POS/AUTHOR_NEG	18301_text
Перед началом матча явным фаворитам считались ивуарийцы, в составе которых выступают такие звёзды английской Премьер-лиги как Дидье Дрогба, Саломон Калу, Коло Туре, Яя Туре.	Яя Туре	PERSON	1	AUTHOR_POS/AUTHOR_NEG	18301_text
В рамках деловой программы форума запланированы выступления: Бориса Наумова (вице-президент фонда «Сколково» по взаимодействию с органами власти и общественностью), Александра Доржиева (один из основателей сервиса «AlterGeo»), Юрия Ветрова (руководитель отдела проектирования и дизайна интерфейсов Mail.RU Group), Елены Алексеевой (директор по работе с институциональными инвесторами компании «Softline») и многие других авторитетных экспертов IT-рынка.	Бориса Наумова	PERSON	1	AUTHOR_POS/AUTHOR_NEG	18716_text
В рамках деловой программы форума запланированы выступления: Бориса Наумова (вице-президент фонда «Сколково» по взаимодействию с органами власти и общественностью), Александра Доржиева (один из основателей сервиса «AlterGeo»), Юрия Ветрова (руководитель отдела проектирования и дизайна интерфейсов Mail.RU Group), Елены Алексеевой (директор по работе с институциональными инвесторами компании «Softline») и многие других авторитетных экспертов IT-рынка.	Александра Доржиева	PERSON	1	AUTHOR_POS/AUTHOR_NEG	18716_text
В рамках деловой программы форума запланированы выступления: Бориса Наумова (вице-президент фонда «Сколково» по взаимодействию с органами власти и общественностью), Александра Доржиева (один из основателей сервиса «AlterGeo»), Юрия Ветрова (руководитель отдела проектирования и дизайна интерфейсов Mail.RU Group), Елены Алексеевой (директор по работе с институциональными инвесторами компании «Softline») и многие других авторитетных экспертов IT-рынка.	Юрия Ветрова	PERSON	1	AUTHOR_POS/AUTHOR_NEG	18716_text
В рамках деловой программы форума запланированы выступления: Бориса Наумова (вице-президент фонда «Сколково» по взаимодействию с органами власти и общественностью), Александра Доржиева (один из основателей сервиса «AlterGeo»), Юрия Ветрова (руководитель отдела проектирования и дизайна интерфейсов Mail.RU Group), Елены Алексеевой (директор по работе с институциональными инвесторами компании «Softline») и многие других авторитетных экспертов IT-рынка.	Елены Алексеевой	PERSON	1	AUTHOR_POS/AUTHOR_NEG	18716_text
