sentence	entity	label	source
Ведущий телеканала «Россия 1» 59-летний журналист Дмитрий Киселёв в последнее время известен своей бескомпрописсной пропагандой действий нынешней российской власти, резкими антизападными высказываниями, которые, как отмечают эксперты, входит в противоречие с принципами нейтральной журналистики.	Дмитрий Киселёв	-1	AUTHOR_POS/AUTHOR_NEG
Киселёв демонстрировал верноподданические отношения к нынешнему президенту России.	Киселёв	-1	AUTHOR_POS/AUTHOR_NEG
Перед началом матча явным фаворитам считались ивуарийцы, в составе которых выступают такие звёзды английской Премьер-лиги как Дидье Дрогба, Саломон Калу, Коло Туре, Яя Туре.	Дидье Дрогба	1	AUTHOR_POS/AUTHOR_NEG
Женский финал Открытого чемпионата США по теннису завершился чистой победой австралийской теннисистки Саманты Стосур над американкой Сереной Уильямс, которая считалась фавориткой соревнований.	Уильямс	-1	AUTHOR_POS/AUTHOR_NEG
В женском разряде сильнее всех оказалась австралийская теннисистка Саманта Стосур, а в мужском победу одержал серб Новак Джокович.	Стосур	1	AUTHOR_POS/AUTHOR_NEG
"НХЛ: Стартует финал Кубка Стэнли

Битва за самый старый и самый ценный кубок в мировом хоккее подходит к решающей стадии."	Кубка Стэнли	1	AUTHOR_POS/AUTHOR_NEG
Турецкие силовики в понедельник задержали 11 военнослужащих по подозрению в нападении на отель, где во время попытки переворота в середине июля находился президент Реджеп Тайип Эрдоган.	Президент	-1	AUTHOR_POS/AUTHOR_NEG
Нобелевская премия по литературе 2013 года вручена канадской писательнице Элис Манро (Alice Ann Munro).	Элис Манро	1	AUTHOR_POS/AUTHOR_NEG
Французский адвокат Оливье Метцнер, представлявший интересы таких влиятельных фигур, как бывший диктатор Панамы Мануэль Норьега, экс-премьер Франции Доминик де Вильпен и российский олигарх Роман Абрамович, был найден мёртвым.	Метцнер	1	AUTHOR_POS/AUTHOR_NEG
"В ответ Владимир Маркин опубликовал статью в «Известиях» под заголовком «Глядя из Лондона, неча на зеркало пенять», где жёстко ответил Суркову:
Нужно заметить, что нынче у «эффективных менеджеров» новая мода."	Владимир Маркин	-1	AUTHOR_POS/AUTHOR_NEG
"Умер Кирк Дуглас — последний представитель «золотого века» американского кинематографа
Кирк Дуглас в 1963 году
Кирк Дуглас в возрасте 103 года скончался в своём доме в Беверли-Хиллз (Калифорния, США) в среду, 5 февраля 2020 года."	Кирк Дуглас	1	AUTHOR_POS/AUTHOR_NEG
"Ким Чен Нама убили с помощью запрещённого химоружия

VX"	убили	-1	AUTHOR_POS/AUTHOR_NEG
"Сторонники «Исламского государства» жестоко убили туристок в Марокко

24-летняя Луиза Вестерагер Йесперсен и 28-летняя Марен Уеланд были жестоко убиты в Марокко сторонниками «Исламского государства»."	убили туристок	-1	AUTHOR_POS/AUTHOR_NEG
"Сторонники «Исламского государства» жестоко убили туристок в Марокко

24-летняя Луиза Вестерагер Йесперсен и 28-летняя Марен Уеланд были жестоко убиты в Марокко сторонниками «Исламского государства»."	«Исламского государства	-1	AUTHOR_POS/AUTHOR_NEG
"Сторонники «Исламского государства» жестоко убили туристок в Марокко

24-летняя Луиза Вестерагер Йесперсен и 28-летняя Марен Уеланд были жестоко убиты в Марокко сторонниками «Исламского государства»."	Исламского государства	-1	AUTHOR_POS/AUTHOR_NEG
"Сторонники «Исламского государства» жестоко убили туристок в Марокко

24-летняя Луиза Вестерагер Йесперсен и 28-летняя Марен Уеланд были жестоко убиты в Марокко сторонниками «Исламского государства»."	убиты	-1	AUTHOR_POS/AUTHOR_NEG
Согласно документам суда, в период с 2006 до конца 2007 года Мардахаев и его сообщники обманывали потерпевших, используя для этого фальшивые сайты, которые, якобы, были связаны с Федеральной налоговой службой США.	Мардахаев	-1	AUTHOR_POS/AUTHOR_NEG
Это связано с публикацией скандальной подборам электронных писем Национального комитета Демократической партии, после которой его председатель Дебби Вассерман-Шульц была вынуждена уйти в отставку.	Национального комитета Демократической партии	-1	AUTHOR_POS/AUTHOR_NEG
"Испания: MicroBank выдал 500 000 кредитов на общую сумму в 1000 млн евро
CaixaBank в Барселоне"	MicroBank	1	AUTHOR_POS/AUTHOR_NEG
"Испания: MicroBank выдал 500 000 кредитов на общую сумму в 1000 млн евро
CaixaBank в Барселоне"	CaixaBank	1	AUTHOR_POS/AUTHOR_NEG
По словам Даламберт, Рено провела последние дни своей жизни в доме в Майами в окружении членов семьи и друзей.	Рено	1	AUTHOR_POS/AUTHOR_NEG
По словам Даламберт, Рено провела последние дни своей жизни в доме в Майами в окружении членов семьи и друзей.	Рено	-1	AUTHOR_POS/AUTHOR_NEG
"Скончалась Джанет Рено — первая женщина-генпрокурор США

Джэнет Рино"	Джанет Рено	-1	AUTHOR_POS/AUTHOR_NEG
В США скончалась Джанет Рено — первая женщина, ставшая генеральным прокурором страны, и оказавшаяся в центре нескольких политических скандалов, сопровождавших работу администрации президента Билла Клинтона.	администрации президента Билла Клинтона	-1	AUTHOR_POS/AUTHOR_NEG
После Уэйко Рено оказалась в центре других спорных ситуаций и скандалов, преследовавших администрацию Клинтона, включая дело «Уайтуотер» (), «» (), Монику Левински, предполагаемый ядерный шпионаж со стороны Китая и сомнительное финансирование предвыборной кампании Клинтона и Гора в 1996 году.	Рено	-1	AUTHOR_POS/AUTHOR_NEG
В петиции говорится, что среди потенциальных объектов планируемой Хендриксом были военнослужащие, а также женщина, организовавшая конкурс «Нарисуй пророка Мухаммада».	Хендрикс	-1	AUTHOR_POS/AUTHOR_NEG
Как сообщило министерство юстиции США, американец из штата Северная Каролина был арестован в четверг по обвинению в заговоре с целью оказания материальной поддержки террористической организации «Исламское государство».	Исламское государство	-1	AUTHOR_POS/AUTHOR_NEG
В понедельник Джаред Лофнер в наручниках и в сопровождении нескольких охранников доставлен в суд в города Феникс.	Лофнер	-1	AUTHOR_POS/AUTHOR_NEG
Альбом ''Double Fantasy'' Джона Леннона и его супруги Йоко Оно, который британский рок-музыкант подписал для Марка Чепмена, ставшего через несколько часов его убийцей, выставлен на продажу в США.	Марка Чепмена	-1	AUTHOR_POS/AUTHOR_NEG
"Свободный Эрик

Но стоит отметить, что Шмидту вообще свойственно делать смелые заявления."	Шмидт	1	AUTHOR_POS/AUTHOR_NEG
"Сами справитесь

Эрик Шмидт ушел с поста гендиректора Google

Эрик Шмидт, возглавлявший в течение последних 10 лет крупнейшую интернет-компанию мира, объявил о своем уходе с поста гендиректора Google."	Google	1	AUTHOR_POS/AUTHOR_NEG
А гораздо более ярким примером является нынешняя гордость Google - операционная система Android.	Google	1	AUTHOR_POS/AUTHOR_NEG
Отметим, что последняя версия мобильной операционки Google Android получила поддержку технологии NFC, которая, как считается, может сыграть важную роль в превращении смартфонов в универсальный инструмент оплаты.	Google	1	AUTHOR_POS/AUTHOR_NEG
На сегодня стоимость Google на рынке составляет более 200 миллиардов долларов.	Google	1	AUTHOR_POS/AUTHOR_NEG
"Жизнь после Шмидта

Как написал Шмидт в недавней колонке в журнале Harvard Business Review, в 2011 году Google обратит пристальное внимание на мобильный рынок."	Google	1	AUTHOR_POS/AUTHOR_NEG
Камаль аль-Ганзури, 1933 года рождения, занимал пост главы правительства Египта с 1996 по 1999 годы и пользовался большой популярностью и авторитетом.	Камаль аль-Ганзури	1	AUTHOR_POS/AUTHOR_NEG
"Умер Ли Пэн – инициатор расправы на площади Тянаньмэнь
Ли Пэн"	Ли Пэн	-1	AUTHOR_POS/AUTHOR_NEG
Ли Пэн страдал от онкологического заболевания.	Ли Пэн	-1	AUTHOR_POS/AUTHOR_NEG
"Ушёл из жизни Виктор Васильевич Тихонов

В Москве в реанимации Института имени Склифосовского на 85-м году жизни скончался великий советский хоккеист и хоккейный тренер Виктор Васильевич Тихонов."	Виктор Васильевич Тихонов	1	AUTHOR_POS/AUTHOR_NEG
Причиной смерти Виктора Тихонова стала остановка сердцаЗнаменитый хоккейный тренер Виктор Тихонов умер в Москве.	Виктор Тихонов	1	AUTHOR_POS/AUTHOR_NEG
"Террористы требуют от Германии подчинения



Последние новости из Германии полны тревожных предчувствий."	Террористы	-1	AUTHOR_POS/AUTHOR_NEG
"Центр ядерной медицины и мордовский могильник: обзор СМИ Тамбовской области

Обзор СМИ Тамбовской области с 25 по 29 июля 2013 г.

Африканская чума впервые добралась до тамбовских свиней, констатирует ""Комсомольская правда-Тамбов""."	Африканская чума	-1	AUTHOR_POS/AUTHOR_NEG
Чтобы не допустить распространения заразы, в Бондарском районе ветеринарная служба, МЧС и полицейские круглосуточно борются с африканской чумой свиней.	африканской чумой свиней	-1	AUTHOR_POS/AUTHOR_NEG
"Любителей мобильных приложений ждёт сюрприз от Apps4all
6 апреля 2012 года в Москве пройдет ключевое российское мероприятие в сфере мобильных приложений и устройств — Международный форум разработчиков Apps4all."	Международный форум разработчиков Apps4all	1	AUTHOR_POS/AUTHOR_NEG
В рамках деловой программы форума запланированы выступления: Бориса Наумова (вице-президент фонда «Сколково» по взаимодействию с органами власти и общественностью), Александра Доржиева (один из основателей сервиса «AlterGeo»), Юрия Ветрова (руководитель отдела проектирования и дизайна интерфейсов Mail.RU Group), Елены Алексеевой (директор по работе с институциональными инвесторами компании «Softline») и многие других авторитетных экспертов IT-рынка.	Александра Доржиева	1	AUTHOR_POS/AUTHOR_NEG
В рамках деловой программы форума запланированы выступления: Бориса Наумова (вице-президент фонда «Сколково» по взаимодействию с органами власти и общественностью), Александра Доржиева (один из основателей сервиса «AlterGeo»), Юрия Ветрова (руководитель отдела проектирования и дизайна интерфейсов Mail.RU Group), Елены Алексеевой (директор по работе с институциональными инвесторами компании «Softline») и многие других авторитетных экспертов IT-рынка.	Юрия Ветрова	1	AUTHOR_POS/AUTHOR_NEG
"Патриарх Кирилл вспоминал о трагедии Южной ОсетииПодбитый грузинский танк в Цхинвали (фото из англоязычной статьи о конфликте в Википедии)

Сегодня в России, Грузии и Южной осетии прошли траурные митинги и заупокойные церковные службы по погибшим в боях за Южную Осетию в начале первой половине августа 2008 года."	трагедии	-1	AUTHOR_POS/AUTHOR_NEG
И, как и в их песне ''Time Is On My Side'' (Время работает на меня), участники группы ''Rolling Stones'' наконец дожили до того дня, когда Куба изменила свое отношение к их легендарной музыке.	'Rolling Stones	1	AUTHOR_POS/AUTHOR_NEG
И, как и в их песне ''Time Is On My Side'' (Время работает на меня), участники группы ''Rolling Stones'' наконец дожили до того дня, когда Куба изменила свое отношение к их легендарной музыке.	Rolling Stones	1	AUTHOR_POS/AUTHOR_NEG
В проникнутых чёрным юмором, насыщенных актуальными аллюзиями и построенных на актёрской импровизации гротескно-сатирических пьесах «Мистерия-буфф» (1969), «Смерть анархиста от несчастного случая» (1970), «Тук-тук!	Мистерия-буфф	1	AUTHOR_POS/AUTHOR_NEG
В проникнутых чёрным юмором, насыщенных актуальными аллюзиями и построенных на актёрской импровизации гротескно-сатирических пьесах «Мистерия-буфф» (1969), «Смерть анархиста от несчастного случая» (1970), «Тук-тук!	Смерть анархиста от несчастного случая	1	AUTHOR_POS/AUTHOR_NEG
"Подпись Дарио Фо
13 октября 2016 года на 91-м году жизни скончался итальянский драматург и режиссёр, лауреат Нобелевской премии по литературе 1997 года, Дарио Фо."	Дарио Фо	1	AUTHOR_POS/AUTHOR_NEG
Смертник-талиб протаранил колонну бронемашин НАТО	Смертник-талиб	-1	AUTHOR_POS/AUTHOR_NEG
Смертник-талиб протаранил колонну бронемашин НАТО	смертник	-1	AUTHOR_POS/AUTHOR_NEG
Повстанцы «Талибана» утверждают, что взрыв унёс жизни семерых солдат.	Талибан	-1	AUTHOR_POS/AUTHOR_NEG
У 31-летнего Александра Усика 15 побед (11 — нокаутом) в 15 профессиональных боях.	Усика	1	AUTHOR_POS/AUTHOR_NEG
"В Португалии объявлен трёхдневный траур в память об Эйсебио
мини|слева|Эузебиу да Силва Феррейра."	Эйсебио	1	AUTHOR_POS/AUTHOR_NEG
В общей классификации Александр Колобнев с 58 места перешёл на 34-е, а Александр Ефимкин с 92-го на 59-е.	Александр Колобнев	1	AUTHOR_POS/AUTHOR_NEG
В общей классификации Александр Колобнев с 58 места перешёл на 34-е, а Александр Ефимкин с 92-го на 59-е.	Александр Ефимкин	1	AUTHOR_POS/AUTHOR_NEG
«На мой взгляд, пришла пора вернуть милиции её прежнее наименование и именовать в дальнейшем органы правопорядка полицией», — сказал глава государства на совещании по поправкам в закон «О милиции» — «Ещё со времен Октябрьской революции органы правопорядка в нашей стране стали именоваться милицией, тем самым подчеркивался их народный, как принято говорить, рабоче-крестьянский характер, — напомнил Медведев.	Медведев	-1	AUTHOR_POS/AUTHOR_NEG
Бриджит Бардо угрожает переездом в Россию, шантажируя Францию слонихами	слонихами	-1	AUTHOR_POS/AUTHOR_NEG
"Трамп и Путин сделали совместное заявление к 75-летию встречи на Эльбе

Президент США Дональд Трамп и президент России Владимир Путин сделали совместное заявление к 75-летию исторической встречи американских и советских войск в конце Второй мировой войны на реке Эльба в Германии, ознаменовавшей поражение нацистского режима."	Второй мировой войны	-1	AUTHOR_POS/AUTHOR_NEG
"Раскрыт предполагаемый заговор с целью похищения и убийства Джастина Бибера
Джастин Бибер."	Джастин Бибер	1	AUTHOR_POS/AUTHOR_NEG
